PacketCounter	SampleTimeFine	Year	Month	Day	Second	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
00165						0.092425	-0.519358	-0.047908	-0.118107	0.110670	-0.073539	-1.331605	-3.951394	91.023506	-0.153457	0.058371	-0.056850
00166						0.136239	-0.434844	0.098898	-0.108558	0.116561	-0.076515	-1.461629	-3.820201	90.918297	-0.149793	0.047910	-0.055434
00167						0.259808	-0.294495	0.102285	-0.138994	0.121803	-0.085447	-1.603416	-3.682924	90.805122	-0.143914	0.040358	-0.052800
00168						0.096452	-0.321569	-0.003294	-0.147438	0.116018	-0.092254	-1.777027	-3.547485	90.680244	-0.138790	0.034104	-0.051771
00169						0.072231	-0.397026	-0.066166	-0.110231	0.099742	-0.094775	-1.922764	-3.427150	90.552605	-0.136181	0.026641	-0.052444
00170						-0.037386	-0.473369	-0.059433	-0.081176	0.082799	-0.096216	-2.032628	-3.327362	90.424530	-0.133957	0.017596	-0.053721
00172						-0.062157	-0.530089	-0.040599	-0.015783	0.069793	-0.087404	-2.088243	-3.245171	90.301216	-0.133201	0.007189	-0.055064
00173						-0.018399	-0.591740	-0.015125	0.052681	0.060754	-0.069205	-2.061583	-3.174500	90.201973	-0.132418	-0.008187	-0.055617
00174						0.070123	-0.544748	0.072289	0.083666	0.059750	-0.043929	-1.980930	-3.107446	90.126411	-0.130192	-0.019127	-0.055004
00175						0.041207	-0.389503	0.110061	0.097493	0.055956	-0.030356	-1.878098	-3.042218	90.073257	-0.127942	-0.027841	-0.052977
00176						-0.187362	-0.246696	0.188622	0.106408	0.042882	-0.026395	-1.773019	-2.986685	90.028549	-0.127416	-0.033254	-0.049936
00177						-0.188028	-0.202605	0.256428	0.154122	0.037708	-0.040247	-1.624913	-2.941043	89.977226	-0.130079	-0.036795	-0.045402
00178						-0.062938	-0.108479	0.329241	0.158321	0.046330	-0.046899	-1.445369	-2.895183	89.914536	-0.131152	-0.039630	-0.039409
00179						0.022619	-0.087467	0.160916	0.099612	0.044010	-0.051724	-1.302918	-2.846778	89.848175	-0.129686	-0.040926	-0.034711
00180						-0.135104	-0.143331	0.114251	0.069316	0.028493	-0.037663	-1.218475	-2.807227	89.787292	-0.129408	-0.042350	-0.032462
00181						-0.188707	-0.091912	0.027310	0.077609	0.009892	-0.023029	-1.138264	-2.786202	89.741394	-0.130976	-0.043974	-0.031860
00182						-0.206356	-0.121604	-0.109897	0.111883	-0.021476	-0.004292	-1.033099	-2.794643	89.715500	-0.133278	-0.045353	-0.033392
00183						-0.253009	-0.264445	-0.204804	0.176663	-0.046827	0.031038	-0.875469	-2.834930	89.721390	-0.136136	-0.049124	-0.036914
00184						-0.315310	-0.355655	-0.094503	0.280692	-0.068201	0.073770	-0.615088	-2.904405	89.775940	-0.140976	-0.055519	-0.040329
00186						-0.200444	-0.287850	0.089981	0.295315	-0.073433	0.099118	-0.284694	-2.987991	89.873833	-0.145747	-0.063699	-0.039934
00187						-0.135569	-0.208332	0.209760	0.224539	-0.056854	0.103572	-0.004073	-3.060560	89.991333	-0.147226	-0.068081	-0.036769
00188						-0.079965	-0.133998	0.196883	0.131787	-0.043637	0.096634	0.180923	-3.117817	90.106926	-0.147626	-0.070879	-0.032977
00189						0.011006	-0.067434	0.304729	0.036531	-0.033709	0.083908	0.259776	-3.162330	90.209160	-0.147235	-0.072578	-0.028581
00190						0.075884	-0.020561	0.221212	-0.087750	-0.033629	0.056587	0.207158	-3.200381	90.289352	-0.144480	-0.073059	-0.024122
00191						-0.137459	0.072421	0.174285	-0.132994	-0.036289	0.027424	0.052859	-3.237307	90.337563	-0.144691	-0.072219	-0.020253
00192						-0.156839	0.040350	0.152218	-0.105754	-0.037163	0.007837	-0.092690	-3.278098	90.356468	-0.146379	-0.071508	-0.017370
00193						0.097271	0.088965	0.073321	-0.077748	-0.046135	-0.012488	-0.197266	-3.326398	90.352180	-0.145824	-0.069376	-0.015009
00194						0.111713	0.217477	-0.015834	-0.083344	-0.059026	-0.015328	-0.297971	-3.388305	90.335861	-0.141980	-0.065677	-0.014654
00195						0.020733	0.180768	-0.051762	-0.042434	-0.075774	-0.014330	-0.377823	-3.469975	90.317772	-0.139241	-0.061138	-0.015446
00196						0.381522	0.405918	0.000338	-0.055467	-0.072543	-0.010230	-0.424316	-3.556715	90.306427	-0.132946	-0.053994	-0.015126
00197						0.338073	0.585653	-0.081821	-0.174768	-0.061318	-0.033703	-0.571802	-3.633822	90.283020	-0.123708	-0.043580	-0.015368
00199						0.033334	0.520477	-0.233401	-0.191233	-0.058903	-0.053180	-0.802162	-3.702389	90.233505	-0.119625	-0.031998	-0.018379
00200						-0.012599	0.387901	-0.393831	-0.115660	-0.057647	-0.063724	-0.981112	-3.769605	90.165222	-0.118446	-0.019219	-0.027107
00201						-0.039893	0.232116	-0.508101	-0.009695	-0.061527	-0.062398	-1.047728	-3.840053	90.093842	-0.118616	-0.013652	-0.036341
00202						-0.018915	0.036262	-0.499390	0.097799	-0.060858	-0.052772	-0.987770	-3.912076	90.031372	-0.118754	-0.011559	-0.046622
00203						0.046780	-0.104808	-0.435259	0.130764	-0.043486	-0.034431	-0.852455	-3.972115	89.983589	-0.116815	-0.012373	-0.056435
